time,open,high,low,close,Bullish Entry,Bearish Entry,CVD
1770924120,6889.75,6890,6887,6889.25,0,0,-228592
1770924180,6889.5,6891.25,6889.25,6891.25,0,0,-226859
1770924240,6891,6892.25,6888.5,6890,0,0,-230066
1770924300,6890,6891,6888,6888,0,0,-231985
1770924360,6887.75,6888,6883,6884.75,0,0,-238547
1770924420,6884.5,6885,6879,6879.75,0,0,-241691
1770924480,6879.75,6880.25,6878.25,6880,0,0,-238895
1770924540,6880.25,6881,6878.25,6879.75,0,0,-242275
1770924600,6879.5,6882.75,6879.5,6881.75,0,0,-239010
1770924660,6881.75,6885.5,6881.5,6884.5,0,0,-236027
1770924720,6884.5,6888.75,6884.5,6887,0,0,-233349
1770924780,6887.25,6889,6886.75,6887.25,0,0,-231627
1770924840,6887.25,6887.5,6885.5,6886.25,0,0,-233664
1770924900,6886.5,6891,6885.25,6890.5,0,0,-231147
1770924960,6890.25,6891.25,6888.75,6889.75,0,0,-233598
1770925020,6889.75,6891.75,6888.5,6890.5,0,0,-232021
1770925080,6890.75,6891.25,6888.75,6889.75,0,0,-233808
1770925140,6890,6891.75,6888.25,6891.25,0,0,-232034
1770925200,6891.25,6891.75,6889.75,6890.25,0,0,-233378
1770925260,6890.25,6892,6889.25,6890.5,0,0,-231391
1770925320,6890.75,6893.75,6889.25,6893,0,0,-227365
1770925380,6893,6893.25,6888,6888,0,0,-229842
1770925440,6887.75,6889.5,6886,6888.25,0,0,-226851
1770925500,6888.5,6892.75,6888.5,6892.5,0,0,-224178
1770925560,6892.5,6893.75,6890.75,6893,0,0,-221500
1770925620,6893,6894.25,6892.5,6893.25,0,0,-219389
1770925680,6893.25,6894.75,6892.5,6893.25,0,0,-216872
1770925740,6893.25,6896,6892.5,6895.75,0,0,-213573
1770925800,6895.25,6898,6895.25,6896,0,0,-210601
1770925860,6895.75,6896.25,6892.25,6894.25,0,0,-215743
1770925920,6894,6894.5,6891,6892.5,0,0,-219547
1770925980,6892.5,6893.5,6891.25,6891.75,0,0,-221468
1770926040,6891.5,6893.25,6891,6891.75,0,0,-219851
1770926100,6891.75,6893.25,6889,6893,0,0,-216789
1770926160,6892.75,6893.25,6891.75,6893,0,0,-214802
1770926220,6893,6896.25,6892.25,6894.75,0,0,-211692
1770926280,6894.75,6894.75,6886,6890.25,0,0,-218611
1770926340,6890.25,6890.5,6886.5,6889.75,0,0,-222941
1770926400,6890,6892.75,6889.75,6891.75,0,0,-219935
1770926460,6891.5,6892.75,6890.75,6892.5,0,0,-217841
1770926520,6892.25,6893,6889,6889.25,0,0,-220129
1770926580,6889,6890.5,6887.75,6888.75,0,0,-222008
1770926640,6889,6892.25,6888.5,6892.25,0,0,-219980
1770926700,6892.25,6893.75,6891,6892.25,0,0,-217600
1770926760,6892,6892.75,6890.5,6890.75,0,0,-218963
1770926820,6890.5,6892,6887.5,6887.75,0,0,-220909
1770926880,6887.5,6889.5,6885.5,6887,0,0,-223602
1770926940,6887,6887,6884.5,6885.5,0,0,-225387
1770927000,6885.5,6885.75,6881,6881.75,0,0,-228505
1770927060,6881.75,6884.25,6880,6883,0,0,-225088
1770927120,6882.75,6886.25,6882.75,6883.25,0,0,-222642
1770927180,6883.25,6885.5,6882.75,6885.5,0,0,-220668
1770927240,6885.75,6887.25,6884.75,6886.5,0,0,-218399
1770927300,6886.5,6886.75,6883.25,6883.75,0,0,-220712
1770927360,6883.75,6884,6881.75,6882.25,0,0,-223047
1770927420,6882.5,6884,6880.5,6881.5,0,0,-225379
1770927480,6881.5,6883.75,6879.5,6880.5,0,0,-227731
1770927540,6880.25,6881.75,6878.5,6879.5,0,0,-230052
1770927600,6879.25,6879.5,6875,6875.5,0,0,-234336
1770927660,6875.5,6879,6875.5,6876.75,0,0,-231487
1770927720,6876.75,6878,6875,6875.5,0,0,-234669
1770927780,6875.5,6877,6873.5,6874,0,0,-237368
1770927840,6874,6876,6874,6875.5,0,0,-234187
1770927900,6875.5,6876,6873.5,6873.5,0,0,-236727
1770927960,6873.25,6874.5,6871.75,6874.25,0,0,-232885
1770928020,6874,6875,6872,6872.25,0,0,-235080
1770928080,6872,6873.75,6871.25,6873.5,0,0,-232622
1770928140,6873.5,6874.25,6869,6870.25,0,0,-236084
1770928200,6870,6872,6868.25,6869.75,0,0,-240206
1770928260,6869.75,6872,6866,6866.25,0,0,-244203
1770928320,6866,6867,6863.25,6867,0,0,-239271
1770928380,6867,6868,6865,6867.25,0,0,-235610
1770928440,6867.5,6870,6866.75,6867.25,0,0,-239238
1770928500,6867.5,6869,6866,6869,0,0,-236650
1770928560,6869,6869.75,6867,6867.25,0,0,-239289
1770928620,6867.25,6869.75,6867,6868,0,0,-237089
1770928680,6868,6869.25,6867.5,6868.25,0,0,-234740
1770928740,6868.25,6869.25,6865.25,6867.25,0,0,-237842
1770928800,6867.25,6871.25,6866.75,6870,0,0,-234004
